"","session","person","ListenerChoice","minus_positive_sync","minus_negative_sync","minus_positive_listener_mean","minus_negative_listener_mean","nasalis_mean_corr_1","nasalis_mean_corr_2","zygomaticus_major_mean_corr_1","zygomaticus_major_mean_corr_2","frontalis_mean_corr_1","frontalis_mean_corr_2","orbicularis_oculi_mean_corr_1","orbicularis_oculi_mean_corr_2","platysima_mean_corr_1","platysima_mean_corr_2","risorius_mean_corr_1","risorius_mean_corr_2","listener_mean_negative_set_activation_1","listener_mean_negative_set_activation_2","listener_mean_positive_set_activation_1","listener_mean_positive_set_activation_2"
"40","14122022_1030","14122022_1030_2","1",-0.0167309481522717,0.0156027712050587,-0.0589440745764906,-0.0319752917321095,0.355611862389754,0.339759400060063,0.277341058060521,0.288199264579587,0.350275963077927,0.371608608304495,0.29537580626649,0.296015511856871,0.299439730082333,0.299506562383788,0.383860212972337,0.362798218038033,0.47878684423596,0.510416923284942,0.66964427436395,0.753532088002794
"41","14122022_1615","14122022_1615_1","1",-0.0247677929506178,-0.0380454550894599,0.0828837593656356,0.0398368668885385,0.314311839086999,0.308700467079491,0.34679366825799,0.376054506898821,0.301027624055107,0.298714253406112,0.314113665893596,0.347672296891246,0.308940157770923,0.357735985673619,0.345473547904388,0.348442052071067,0.274641409383489,0.253598006103457,0.341504229946343,0.289226865598759
"42","14122022_1615","14122022_1615_2","0",0.0141864437168468,0.0225672999746278,0.0151924986540266,0.021798429478501,0.323525354669474,0.294564772174843,0.300461311899193,0.33652782109293,0.32159652753594,0.348599361968874,0.352699749627481,0.306832797568599,0.359424771304611,0.348051731544947,0.348260742515256,0.328397596102201,0.350875346940046,0.335904622215169,0.420859175229038,0.408262741623236
"43","14122022_1615","14122022_1615_1","0",0.0270274028898721,0.000452562314867321,0.0198994497070164,0.0231898643318716,0.312403274452092,0.286835085385998,0.391078465130228,0.342877062377019,0.349716689711241,0.307076061936429,0.350852545586023,0.356620609062453,0.35983363296916,0.343919631881121,0.348308459985844,0.363581794165897,0.258047480693659,0.246350558593331,0.319936521430083,0.307451838318499
"44","14122022_1615","14122022_1615_2","0",0.000954260105798344,0.000494429091142622,0.102483743740515,0.0818531132312123,0.30454833294937,0.314640327312521,0.334942938962334,0.31124574506357,0.354944179969661,0.358279413140602,0.345712403308176,0.341041227723211,0.365678229948984,0.339233175832994,0.332667722662581,0.358422552936013,0.396029150346416,0.336101941209221,0.447916931568823,0.36464277121487
"45","15122022_1430","15122022_1430_1","0",-0.0336318519691928,-0.00399025514552146,0.0173248774487652,-0.0205968676949836,0.375883808627236,0.3751715559991,0.368293681768871,0.349069336835396,0.323449497709727,0.334077922587842,0.341313054419547,0.376955185526607,0.335293250897963,0.334680304287816,0.341592871191347,0.347629355764957,0.486752272229476,0.507225092502673,0.604338600000678,0.583755023574577
"46","15122022_1430","15122022_1430_2","1",-0.0669455791167861,-0.00724388529938503,-0.0291127260288314,0.0648005553141245,0.359457917909991,0.417179205387135,0.348457416730274,0.373023211922957,0.321773379913481,0.343433734383115,0.314004606339574,0.383576927106881,0.354074508099038,0.35094043622019,0.330748800660219,0.34387683062311,0.425910062585032,0.374070854891829,0.706027078809397,0.74836849879782
"47","15122022_1430","15122022_1430_1","1",0.0392202470586591,0.0111791824660763,-0.0419579386872892,0.0206080857031016,0.396918869704604,0.382346607843719,0.35243284791712,0.36562220006697,0.350257592806605,0.293906420105314,0.346796949751017,0.350534345055557,0.354498394886245,0.330929195913013,0.346832714382408,0.354894654947632,0.508599059828791,0.488059828050614,0.300112051623786,0.326399171093455
"48","15122022_1430","15122022_1430_2","0",0.00973353775768911,-0.0370024676840208,-0.0976297458086642,0.0427831053971195,0.370294993425565,0.380043835823806,0.340394203709395,0.363321833986142,0.336858559334699,0.326155008281425,0.359075122362749,0.356361476671835,0.355548374177685,0.375499817840179,0.297626286125899,0.32787034857603,0.384018028664254,0.352507192499566,0.606816147014392,0.738122129033269
"49","18122022_0915","18122022_0915_1","1",-0.0142955821297438,-0.00625378546190504,0.105788252486702,0.0681173439972705,0.331252868680223,0.358911498214118,0.31597646145094,0.398616618610794,0.326281852239448,0.357370565704914,0.326870896351423,0.314727413507776,0.355144428512616,0.3694039841459,0.346215293988936,0.340783250193137,0.26081885650089,0.227552309769689,0.37117489937159,0.30015597891707
"50","18122022_0915","18122022_0915_2","0",0.115350263914991,0.0464607723960346,-0.0230617683673898,0.0320577787894659,0.374646609168407,0.377930961180907,0.364249744887449,0.353623667247746,0.394275336267036,0.306213139439279,0.366752902516175,0.297403009114499,0.345742401084922,0.332133338048812,0.378812689271963,0.328084148779215,0.338128085136888,0.317122215933445,0.573478248011456,0.6005534961513
"51","18122022_0915","18122022_0915_1","0",0.00892953187143788,0.0873532789918585,0.184564218760747,0.291782817083031,0.4245332547758,0.374778684844536,0.414371205732234,0.405321008492873,0.35812720126578,0.34737385858349,0.411347399162121,0.408480270341237,0.442851707366991,0.379667754703365,0.378717629444708,0.309898898387718,0.355933671927577,0.195139878859093,0.441549439113732,0.303955839740067
"52","18122022_0915","18122022_0915_2","1",-0.0203752846366402,0.0263367662544427,-0.0247583077528947,0.134141754165053,0.335376966482604,0.352965805147007,0.351454535430301,0.337890129742332,0.333008544748946,0.351975662398211,0.338959223598245,0.347944717458263,0.324550378686688,0.315615805240447,0.314255259521012,0.290405126565485,0.359887197770186,0.274755158793315,0.513955175477749,0.540050574201631
"53","18122022_1115","18122022_1115_1","1",0.0224679661983399,-0.0223863591386519,-0.0148906922203735,0.00992248751391656,0.309483378948121,0.311749766281498,0.285162318169898,0.311349711956103,0.343715781724974,0.310086068729228,0.351117055493733,0.354209908233266,0.299604237217383,0.327650337439371,0.299243696783982,0.29862361510278,0.430587475276696,0.422126432177043,0.435207516961287,0.448364516161041
